timestamp,system_cpu_pct,system_mem_used_mb,system_mem_pct,fastapi_cpu_pct,fastapi_mem_mb,fastapi_threads
22:11:58,20.9,16532,51.2,0.0,4,1
22:12:02,27.1,16547,51.3,0.0,4,1
22:12:06,28.5,16420,50.9,0.0,4,1
22:12:10,17.6,16313,50.6,0.0,4,1
22:12:14,15.8,16313,50.5,0.0,4,1
22:12:18,26.6,16338,50.6,0.0,4,1
22:12:22,18.3,16321,50.6,0.0,4,1
22:12:26,16.4,16335,50.6,0.0,4,1
22:12:30,14.0,16337,50.6,0.0,4,1
22:12:34,12.3,16324,50.6,0.0,4,1
22:12:38,13.5,16323,50.6,0.0,4,1
22:12:42,12.4,16309,50.5,0.0,4,1
22:12:46,12.8,16313,50.6,0.0,4,1
22:12:50,12.2,16304,50.5,0.0,4,1
22:12:54,10.9,16297,50.5,0.0,4,1
22:12:58,9.9,16298,50.5,0.0,4,1
22:13:03,10.9,16307,50.5,0.0,4,1
22:13:07,7.2,16305,50.5,0.0,4,1
22:13:11,8.2,16300,50.5,0.0,4,1
22:13:15,7.0,16305,50.5,0.0,4,1
22:13:19,6.8,16306,50.5,0.0,4,1
22:13:23,4.5,16203,50.2,0.0,4,1
22:13:27,5.4,16200,50.2,0.0,4,1
22:13:31,1.9,16198,50.2,0.0,4,1
22:13:35,4.4,16269,50.4,0.0,4,1
22:13:39,5.5,16261,50.4,0.0,4,1
